Filesystem       Size  Used Avail Use% Mounted on
/dev/root        145G  7.1G  138G   5% /
tmpfs            3.8G     0  3.8G   0% /dev/shm
tmpfs            1.6G  1.4M  1.6G   1% /run
tmpfs            5.0M     0  5.0M   0% /run/lock
efivarfs         128K  3.8K  120K   4% /sys/firmware/efi/efivars
/dev/nvme0n1p16  881M  155M  665M  19% /boot
/dev/nvme0n1p15  105M  6.2M   99M   6% /boot/efi
tmpfs            779M   12K  779M   1% /run/user/0
tmpfs            779M   12K  779M   1% /run/user/1000
